1,Expected command letter,G 代码字由一个字母和一个值组成。未找到字母。
2,Bad number format,缺少预期的 G 代码字值，或数字值格式无效。
3,Invalid statement,Grbl '$' 系统命令未被识别或支持。
4,Value < 0,收到预期正值的负值。
5,Setting disabled,归位循环失败。通过设置未启用归位。
6,Value < 3 usec,最小步进脉冲时间必须大于 3 微秒。
7,EEPROM read fail. Using defaults,EEPROM 读取失败。自动恢复受影响的 EEPROM 到默认值。
8,Not idle,除非 Grbl 处于 IDLE 状态，否则不能使用 Grbl '$' 命令。确保作业期间平稳运行。
9,G-code lock,在警报或行进状态下，G 代码命令被锁定。
10,Homing not enabled,未启用归位的情况下无法启用软限位。
11,Line overflow,每行最大字符数超过。未执行接收到的命令行。
12,Step rate > 30kHz,Grbl '$' 设置值导致步进速率超过最大支持值。
13,Check Door,安全门被检测为已打开并启动门状态。
14,Line length exceeded,构建信息或启动行超过了 EEPROM 行长度限制。行未存储。
15,Travel exceeded,行程超出了机器的行进目标。已忽略行进命令。
16,Invalid jog command,行进命令没有 '='，或包含了禁止的 G 代码。
20,Unsupported command,在块中发现不受支持或无效的 G 代码命令。
21,Modal group violation,在块中发现了来自同一模态组的多个 G 代码命令。
22,Undefined feed rate,进给速率尚未设置或未定义。
23,Invalid gcode ID:23,块中的 G 代码命令需要整数值。
24,Invalid gcode ID:24,在块中发现了需要轴字的多个 G 代码命令。
25,Invalid gcode ID:25,在块中发现了重复的 G 代码字。
26,Invalid gcode ID:26,在块中未找到用于 G 代码命令或当前模态状态所需的轴字。
27,Invalid gcode ID:27,行号值无效。
28,Invalid gcode ID:28,G 代码命令缺少必需的值字。
29,Invalid gcode ID:29,不支持 G59.x 工作坐标系。
30,Invalid gcode ID:30,仅允许在 G0 和 G1 运动模式下使用 G53。
31,Invalid gcode ID:31,在没有命令或当前模态状态使用轴字的情况下，在块中找到了轴字。
32,Invalid gcode ID:32,G2 和 G3 弧线至少需要一个平面内的轴字。
33,Invalid gcode ID:33,运动命令目标无效。
34,Invalid gcode ID:34,弧半径值无效。
35,Invalid gcode ID:35,G2 和 G3 弧线需要至少一个平面内的偏移字。
36,Invalid gcode ID:36,在块中找到未使用的值字。
37,Invalid gcode ID:37,G43.1 动态刀具长度补偿未分配给配置的刀具长度轴。
18,Emergency stop engaged,请旋转紧急停止按钮以解除。
