1,Expected command letter,G 代码词由一个字母和一个值组成。字母未找到。
2,Bad number format,缺少预期的 G 代码词值或数值格式无效。
3,Invalid statement,$' 系统命令未被识别或支持。
4,Value < 0,接收到预期为正值的负值。
5,Setting disabled,归位循环失败。未通过设置配置归位。
6,Value < 3 usec,步进脉冲时间必须大于或等于 2 微秒。
7,EEPROM read fail. Using defaults,设置读取失败。自动恢复受影响的设置为默认值。
8,Not idle,除非控制器状态为 IDLE，否则无法使用 $' 命令。确保作业期间平稳运行。
9,G-code lock,在报警或点动状态下，锁定 G 代码命令。
10,Homing not enabled,如果没有启用归位，无法启用软限位。
11,Line overflow,每行最大字符数已超过。接收到的命令行未执行。
12,Step rate > 30kHz,$' 设置值导致步进速率超过最大支持值。
13,Check Door,检测到安全门已打开并初始化门状态。
14,Line length exceeded,构建信息或启动行超过了行长度限制。行未存储。
15,Travel exceeded,点动目标超出机器行程。点动命令已被忽略。
16,Invalid jog command,点动命令没有 '=' 或包含禁止使用的 G 代码。
17,PWM is needed,激光模式需要 PWM 输出。
18,Reset asserted  ,复位已断开
19,Non positive value  ,非正值
20,Unsupported command,在块中找到不支持或无效的 G 代码命令。
21,Modal group violation,在块中找到来自同一模态组的多个 G 代码命令。
22,Undefined feed rate,进给速率尚未设置或未定义。
23,Invalid gcode ID:23,块中的 G 代码命令需要一个整数值。
24,Invalid gcode ID:24,在块中找到需要轴字的多个 G 代码命令。
25,Invalid gcode ID:25,在块中找到重复的 G 代码词。
26,Invalid gcode ID:26,在块中没有找到轴字，而这是 G 代码命令或当前模态状态所必需的。
27,Invalid gcode ID:27,行号值无效。
28,Invalid gcode ID:28,G 代码命令缺少所需的值词。
29,Invalid gcode ID:29,不支持 G59.x 工作坐标系。
30,Invalid gcode ID:30,仅允许在 G0 和 G1 运动模式下使用 G53。
31,Invalid gcode ID:31,在块中找到轴字，但没有命令或当前模态状态使用它们。
32,Invalid gcode ID:32,G2 和 G3 圆弧需要至少一个平面内的轴字。
33,Invalid gcode ID:33,运动命令目标无效。
34,Invalid gcode ID:34,圆弧半径值无效。
35,Invalid gcode ID:35,G2 和 G3 圆弧需要至少一个平面内的偏移字。
36,Invalid gcode ID:36,在块中找到未使用的值词。
37,Invalid gcode ID:37,G43.1 动态刀具长度补偿未分配给配置的刀具长度轴。
38,Invalid gcode ID:38,刀具编号大于最大支持值或选择了未定义的刀具。
39,Invalid gcode ID:39,值超出范围。
40,Invalid gcode ID:40,在刀具更换待处理时，不允许使用 G 代码命令。
41,Invalid gcode ID:41,在 CSS 或主轴同步模式下运动命令时，主轴未运行。
42,Invalid gcode ID:42,线程必须使用 ZX 平面。
43,Invalid gcode ID:43,超过最大进给速率。
44,Invalid gcode ID:44,转速超出范围。
45,Invalid gcode ID:45,仅当限位开关触发时，允许进行归位。
46,Invalid gcode ID:46,请归位以继续。
47,Invalid gcode ID:47,ATC：当前刀具未设置。使用 M61 设置当前刀具。
48,Invalid gcode ID:48,值词冲突。
49,POST Failed,上电自检失败。需要硬复位。
50,Emergency stop,急停处于激活状态。
51,Motor fault,电机故障。
52,Value out of range,设置值超出范围。
53,Invalid gcode ID:53,设置不可用，可能是由于受限的驱动程序支持。
54,Invalid gcode ID:54,撤回位置小于钻孔深度。
60,SD Error 60,SD 卡安装失败。
61,SD Error 61,SD 卡文件打开/读取失败。
62,SD Error 62,SD 卡目录列表失败。
63,SD Error 63,SD 卡目录未找到。
64,SD Error 64,SD 卡文件为空。
65,Function error,功能错误。
90,WiFi error,WiFi 错误。
